market_volatility,debt_ratio,liquidity_ratio,revenue_growth,credit_score,risk_flag
0.82,0.71,0.34,-0.08,510,1
0.77,0.66,0.41,-0.03,545,1
0.18,0.22,0.83,0.16,742,0
0.25,0.29,0.78,0.11,715,0
0.64,0.58,0.49,0.02,603,1
0.41,0.37,0.65,0.08,670,0
0.89,0.74,0.28,-0.11,498,1
0.22,0.19,0.88,0.18,761,0
0.58,0.52,0.57,0.05,632,0
0.73,0.63,0.44,-0.02,584,1
0.31,0.26,0.76,0.12,708,0
0.86,0.79,0.25,-0.14,482,1
0.47,0.45,0.61,0.07,651,0
0.69,0.61,0.46,0.01,596,1
0.27,0.24,0.81,0.14,726,0
0.81,0.68,0.39,-0.06,533,1
